,b0_level,b1_slope,b2_curvature,lambda
2019-03-26,0.03161906060201557,-0.0062823363753424415,-0.02119837796143888,0.2913112496629902
2019-03-27,0.030996239576008507,-0.0059071477549905976,-0.020283573196477007,0.29944902015804786
2019-03-28,0.03067074549721804,-0.0057744331431332325,-0.018748974547606982,0.29279919126095066
2019-03-29,0.030840784707725253,-0.006184905656121865,-0.017199258506830774,0.26821040935659674
2019-04-01,0.031771251249161005,-0.007130482442021064,-0.015513668227024456,0.24962717111705435
2019-04-02,0.03141962879402943,-0.006710461310215039,-0.016393950254112694,0.275790660643684
2019-04-03,0.032060491366250075,-0.007399649072324394,-0.015835244538753186,0.2653232482789849
2019-04-04,0.032009772426553576,-0.007292451549899213,-0.01595294665781513,0.26142191744088455
2019-04-05,0.03233374564738628,-0.0076609686217495015,-0.015861508707807934,0.23219871973930795
2019-04-08,0.032497814277357324,-0.007783782271994242,-0.015649901341992584,0.2340298960235477
2019-04-09,0.03250857838556393,-0.007922943474157122,-0.015760609325249513,0.22942164911763818
2019-04-10,0.03220284289595845,-0.007603250701668235,-0.016858357166976545,0.24537909562453894
2019-04-11,0.03295709539477952,-0.008293875766032143,-0.016565762735952432,0.22376499885894777
2019-04-12,0.033427730120418574,-0.008888048985066888,-0.014067708153155289,0.19792764237021457
2019-04-15,0.033230851626934045,-0.008712349374880156,-0.014097472815572432,0.201387963559729
2019-04-16,0.03306822464863688,-0.008483331927863368,-0.013018208305276575,0.21606847006652807
2019-04-17,0.03307438345350357,-0.008454377041199907,-0.01369340214941076,0.22392965201561835
2019-04-18,0.03263160175129186,-0.008008283204334169,-0.013894598585301643,0.22963094806209064
2019-04-19,0.03263160175129186,-0.008008283204334169,-0.013894598585301643,0.22963094806209064
2019-04-22,0.03279873150121636,-0.008050511449683048,-0.014330277747594222,0.2480637046066334
2019-04-23,0.032719146132663406,-0.007983189963702356,-0.015345059968246545,0.2569261366028928
2019-04-24,0.0322088083596589,-0.007474688560979731,-0.016478169582360497,0.27099644744023516
2019-04-25,0.03202712406675582,-0.007302586166360641,-0.01587099985642777,0.27638310884272116
2019-04-26,0.03181615054202687,-0.007093243612237722,-0.017129183714626746,0.29061395782528565
2019-04-29,0.03215350887133835,-0.007202838972372282,-0.017466365973195782,0.30138485970061396
2019-04-30,0.03182502611196683,-0.007003330930831419,-0.01796328044883117,0.3102853934679786
2019-05-01,0.031724876237298756,-0.00710369079831226,-0.015939511158689766,0.2829865053770946
2019-05-02,0.031897658712040346,-0.007038147305759561,-0.015446791234384067,0.2822377019327696
2019-05-03,0.03186157141676913,-0.007216419862563167,-0.015246085821918848,0.2737302839741591
2019-05-06,0.031617903303451406,-0.006847491987047012,-0.0164470131750628,0.28741563112144763
2019-05-07,0.031197554677780168,-0.006380059386242881,-0.017516676388856584,0.2877124586785401
2019-05-08,0.03138274298606211,-0.006716056181652522,-0.01646886883067657,0.28847847853487846
2019-05-09,0.03128093549121033,-0.00647553636116635,-0.018150616501538378,0.29885137961571734
2019-05-10,0.0312877042348539,-0.006582925121505485,-0.017484479456477815,0.3049630415329854
2019-05-13,0.03076152408255011,-0.0060898936656081145,-0.019825587399255117,0.32656008854021207
2019-05-14,0.031182853845628737,-0.0065484410147457,-0.019605268386523222,0.31370952269254515
2019-05-15,0.03068718094407541,-0.005973949568012235,-0.020817739768662715,0.3289464967810013
2019-05-16,0.031041206736195523,-0.00643394070105024,-0.019765182833346544,0.30769747592297225
2019-05-17,0.030894354280833498,-0.0064171313349625685,-0.019314833260575495,0.29843207140313455
2019-05-20,0.03085444739182999,-0.0064132581497218025,-0.018296161645183065,0.3027327540827542
2019-05-21,0.031176422739328528,-0.006874884070775293,-0.01699129884047951,0.2761466057184369
2019-05-22,0.03130376427977531,-0.00703518373866812,-0.018346542962440236,0.264865075591446
2019-05-23,0.03009634306916726,-0.005666142011074522,-0.020530176617078965,0.3106676509111643
2019-05-24,0.030233027718927205,-0.005984498383391289,-0.019479288933111228,0.29474126371100107
2019-05-27,0.030233027718927205,-0.005984498383391289,-0.019479288933111228,0.29474126371100107
2019-05-28,0.029934325432010255,-0.0056802667641422085,-0.020888443134058937,0.29065274528115803
2019-05-29,0.029446536759188034,-0.005130445976220111,-0.020906213183083916,0.3144953040504888
2019-05-30,0.028863326978219767,-0.004286203672927672,-0.021771860263918523,0.3343720244135012
